camera_id,name,lat,lon,area,score,level,vehicles,pedestrians,signals
24c402b2-915d-49f8-9529-f723a171c134,FDR @ Grand St,40.713209,-73.977491,Manhattan,11.0,medium,11,0,0
0b4bd3d3-1741-49b3-87cc-d0960fa5f424,Lexington Ave @ 34 St,40.7464005840423,-73.9797313879486,Manhattan,5.9,medium,5,3,0
936d479d-402f-468a-b1c6-b2c2a68a0b4c,Harlem River Dr Ramp @ Before GWB & Amst_179St Exit,40.84359,-73.9315,Manhattan,8.0,medium,8,0,0
180dcc87-d861-43e3-8898-9ad5ee1a26a9,Lexington Ave @ 57 ST,40.7609271914359,-73.9691468531185,Manhattan,4.4,low,2,8,0
58ca7f66-a60c-4b2d-9cb5-a68e8ac545ac,Varick st @ Broome st,40.724402,-74.006047,Manhattan,7.5,medium,7,0,1
63930c04-926c-4730-821e-95b486513843,RT. 9A @ N. Moore St,40.720319,-74.012171,Manhattan,1.0,low,1,0,0
48cd1b5b-f361-4683-9d83-492d4789d7ea,Grand St @ Allen St,40.717382,-73.991308,Manhattan,0.0,low,0,0,0
22df28bd-413a-4847-9bb7-35a36c914264,1st camera North Bound BPU -148.51,40.701349,-74.012679,Manhattan,1.0,low,1,0,0
9bb33444-d2ec-47bd-952a-174f87013736,7 AVE / ADAM CLAYTON POWELL BLVD@ 125 St,40.80896,-73.9483,Manhattan,1.9,low,1,3,0
9fda4742-9a18-4a32-b090-8825b201f0d5,FDR Drive @ 124 St,40.799477,-73.929293,Manhattan,2.0,low,2,0,0
30bcfac8-ebd1-40c7-ae4c-1d93113bd465,BB-21 North Rdwy @ Above South St,40.708272,-73.999488,Manhattan,0.0,low,0,0,0
6a49e889-4397-4c5a-a942-2225c1f1c5e7,C4-WST-07-Med_at_W.23rd_St,40.749346,-74.008089,Manhattan,10.3,medium,9,1,2
3486cafa-aab2-418a-baa4-89dcc438e8c9,5 Ave @ 23 St,40.7415700588724,-73.9895780597063,Manhattan,6.9,medium,4,8,1
8cd15417-5b79-4065-9165-4b6ff0ff3f53,Broadway @ 46 St- Quad West,40.75872,-73.98539,Manhattan,2.0,low,2,0,0
19a2c89d-ea4d-437a-ae0c-2902ade217d6,Central Park West @ 96 St,40.791667,-73.964697,Manhattan,2.6,low,2,2,0
3a3d7bc0-7f35-46ba-9cca-75fe83aac34d,5 Ave @ 34 St,40.7484435553342,-73.9845677012874,Manhattan,9.8,medium,8,6,0
35a808cf-7e4d-4ca5-891d-36ac48518662,West Side HWY BPU Entrance -148.54,40.7051851,-74.0166288,Manhattan,11.0,medium,11,0,0
aacb43bf-ed37-44c6-a2fe-8449a7851306,5 Ave @ 35 St ,40.749128,-73.984083,Manhattan,8.6,medium,8,2,0
73b66e92-508f-407c-bada-883ab992fde0,Broadway @ Vesey St,40.711408,-74.008688,Manhattan,1.1,low,0,2,1
96be7098-dda4-42da-bfe2-55bc5c6b94fb,Baxter St @ Canal Street,40.7175537302479,-73.999310720446,Manhattan,9.3,medium,9,1,0
0c9a2836-c408-48d3-85c7-1977c33d9133,Broadway @ 46 St,40.758741,-73.985437,Manhattan,6.0,medium,6,0,0
404fac12-9b5c-430b-a01b-12b50d39521c,9 Ave @ 49 St,40.7628734544829,-73.9894306186342,Manhattan,8.6,medium,8,2,0
b03d3f18-928f-4fcf-b0f5-bbd18314f492,12 Ave @ W 49 St,40.766158,-73.997147,Manhattan,12.0,medium,12,0,0
beda95e2-f7d1-43a3-9a8b-7ab89e03f296,FDR Dr @ Catherine Street,40.708979,-73.996036,Manhattan,1.0,low,1,0,0
0acd4543-183d-40c7-993e-e39eb831de0b,QBB LL CM @ York Ave,40.759021,-73.959431,Manhattan,1.0,low,1,0,0
434094f8-1be4-4c19-8067-1e11049e46b4,Madison Ave @ 46 St - Manhattan,40.755508,-73.977437,Manhattan,8.3,medium,8,1,0
43bb4857-e86e-4775-916e-6b26cedaf554,Broadway @ 125 St,40.81575,-73.9585,Manhattan,7.6,medium,7,2,0
2334b7bd-a237-4bf5-9224-5241bd4ee29e,WBB-6 South Rdwy @ Delancy St and Clinton St,40.717622,-73.985843,Manhattan,4.0,low,4,0,0
b0cbb042-de0a-449f-b5d1-49f68a9bf2ae,7 Ave @ 36 St,40.752128,-73.989657,Manhattan,10.8,medium,9,6,0
aacbd8a1-56b6-4757-b0b0-1bea396469c6,11 Ave @ 34 ST,40.755787,-74.00198,Manhattan,11.3,medium,11,1,0
8437bc26-9eb8-4915-93f7-f8ea4170e739,9 AVE @ 14 St,40.74095,-74.0053,Manhattan,6.9,medium,5,3,2
